"","lon","lat","dt","EcoROMS_original","Marxan_raw","swor","lbst","casl","blshobs","blshtrk"
"1394",-126.103287223913,44.1000530102577,1997-10-01,0.195329189300537,-0.250342011451721,0.781573593616486,0.679913520812988,0.000325460743624717,0.856280982494354,0.719773054122925
"1395",-125.799493360994,44.1000530102577,1997-11-07,0.00749597791582346,-0.641791045665741,0.769015669822693,0.711172759532928,0.0303128380328417,0.75112372636795,0.416427493095398
"1396",-125.495699498076,44.1000530102577,1997-10-20,0.268012553453445,-0.233458176255226,0.749876320362091,0.58726167678833,0.147406190633774,0.728175222873688,0.553688108921051
"1397",-125.191905635157,44.1000530102577,1997-11-23,0.020890224725008,0.391411036252975,0.309828519821167,0.218369662761688,0.105569742619991,0.440361708402634,0.5710329413414
"1398",-124.888111772238,44.1000530102577,1997-10-28,-0.343535423278809,-0.0984848514199257,0.188934519886971,0.433862060308456,0.925209224224091,0.430013805627823,0.5601646900177
"1399",-124.58431790932,44.1000530102577,1997-10-26,-0.597109913825989,-0.605804085731506,0.198164492845535,0.613896548748016,0.972780883312225,0.236842483282089,0.634250402450562
"1400",-124.280524046401,44.1000530102577,1997-10-26,-0.825459420681,-0.830713450908661,0.1855778247118,0.768113851547241,0.929960906505585,0.222689300775528,0.577679097652435
"1401",-131.571576756448,44.4038468731763,1997-11-15,0.725255489349365,0.845569610595703,0.678568363189697,0.186640217900276,0.127774551510811,0.453154265880585,0.448279142379761
"1402",-131.26778289353,44.4038468731763,1997-11-17,0.708173930644989,0.936868667602539,0.64379745721817,0.159197449684143,0.117343664169312,0.492727786302567,0.312244534492493
"1403",-130.963989030611,44.4038468731763,1997-11-12,0.361085146665573,0.106435641646385,0.680637419223785,0.425215482711792,0.19056548178196,0.561484277248383,0.626457571983337
"1404",-130.660195167692,44.4038468731763,1997-11-15,0.0678889155387878,-0.131645575165749,0.561649084091187,0.47477263212204,0.151294514536858,0.419709146022797,0.584708750247955
"1405",-130.356401304774,44.4038468731763,1997-11-16,-0.046446792781353,-0.109433963894844,0.497631281614304,0.459050714969635,0.107145845890045,0.489503264427185,0.523633420467377
"1406",-130.052607441855,44.4038468731763,1997-11-17,-0.0767820551991463,-0.219696968793869,0.480206042528152,0.479349583387375,0.126999020576477,0.51610654592514,0.409255653619766
"1407",-129.748813578937,44.4038468731763,1997-10-01,0.263974010944366,-0.0177838578820229,0.755721569061279,0.612517893314362,0.00420292653143406,0.792125105857849,0.699080109596252
"1408",-129.445019716018,44.4038468731763,1997-10-07,0.253702908754349,-0.140722289681435,0.715781927108765,0.599085330963135,0.0200137924402952,0.668690383434296,0.431897312402725
"1409",-129.141225853099,44.4038468731763,1997-11-30,-0.083105131983757,-0.0226700250059366,0.357487499713898,0.32604905962944,0.161028742790222,0.46063968539238,0.253810554742813
"1410",-128.837431990181,44.4038468731763,1997-10-27,0.364407539367676,-0.15288220345974,0.800900757312775,0.537381589412689,0.0292896050959826,0.557013511657715,0.418474912643433
"1411",-128.533638127262,44.4038468731763,1997-11-09,0.105876080691814,-0.30061349272728,0.667376518249512,0.545429408550262,0.117310911417007,0.628297448158264,0.576887845993042
"1412",-128.229844264343,44.4038468731763,1997-10-22,0.465669244527817,-0.237583890557289,0.873265981674194,0.567647159099579,0.030700484290719,0.594383180141449,0.50702565908432
"1413",-127.926050401425,44.4038468731763,1997-10-20,0.319752603769302,-0.450686633586884,0.871461272239685,0.678179025650024,0.0354063846170902,0.584133744239807,0.582959353923798
"1414",-127.622256538506,44.4038468731763,1997-10-31,0.228009432554245,-0.70040488243103,0.875249624252319,0.691705286502838,0.0323313660919666,0.626006841659546,0.494886219501495
"1415",-127.318462675587,44.4038468731763,1997-11-22,-0.170502379536629,-0.660377383232117,0.564371645450592,0.602991878986359,0.0461602471768856,0.490631937980652,0.563224315643311
"1416",-127.014668812669,44.4038468731763,1997-10-09,0.18721230328083,-0.521052658557892,0.79003894329071,0.651476979255676,0.00186581863090396,0.830223202705383,0.763884484767914
"1417",-126.71087494975,44.4038468731763,1997-10-16,0.0211399123072624,-0.43517330288887,0.678761541843414,0.716094732284546,0.019955400377512,0.503420174121857,0.550585448741913
"1418",-126.407081086832,44.4038468731763,1997-11-12,-0.0293203461915255,-0.628712892532349,0.671465218067169,0.684310138225555,0.1370470225811,0.602761805057526,0.58628237247467
"1419",-126.103287223913,44.4038468731763,1997-11-24,-0.365925252437592,-0.878862798213959,0.531038165092468,0.690698027610779,0.213814094662666,0.536604344844818,0.393339425325394
"1420",-125.799493360994,44.4038468731763,1997-11-03,0.144103437662125,-0.684210538864136,0.806456625461578,0.684153974056244,0.0522101521492004,0.484784930944443,0.685478448867798
"1421",-125.495699498076,44.4038468731763,1997-11-09,0.115777306258678,-0.25153374671936,0.670010209083557,0.524322748184204,0.885072767734528,0.626543819904327,0.617668747901917
"1422",-125.191905635157,44.4038468731763,1997-10-26,0.041736762970686,0.0253929868340492,0.440954029560089,0.425040066242218,0.150496199727058,0.338021695613861,0.326562494039536
"1423",-124.888111772238,44.4038468731763,1997-10-30,0.0992400720715523,0.273209542036057,0.444473892450333,0.374379962682724,0.219576954841614,0.426544785499573,0.635236263275146
"1424",-124.58431790932,44.4038468731763,1997-11-22,-0.0768415257334709,0.379716992378235,0.214819982647896,0.198761075735092,0.977311491966248,0.181108102202415,0.209583699703217
"1425",-124.280524046401,44.4038468731763,1997-10-23,-0.74605804681778,-0.837908506393433,0.18245804309845,0.731876254081726,0.988644182682037,0.364485323429108,0.514961421489716
"1426",-131.571576756448,44.707640736095,1997-10-15,0.664434254169464,0.827715337276459,0.679247558116913,0.241771072149277,0.104688286781311,0.648003995418549,0.347588330507278
"1427",-131.26778289353,44.707640736095,1997-10-18,0.438866674900055,0.0771208256483078,0.792898297309875,0.504682242870331,0.02304432913661,0.566984057426453,0.44136255979538
"1428",-130.963989030611,44.707640736095,1997-11-18,0.167718067765236,0.119804404675961,0.492628306150436,0.318857610225677,0.0899950340390205,0.203279182314873,0.553556621074677
"1429",-130.660195167692,44.707640736095,1997-10-29,0.546343445777893,0.312101900577545,0.750397980213165,0.374029397964478,0.0875380337238312,0.678397715091705,0.413977950811386
"1430",-130.356401304774,44.707640736095,1997-11-17,0.0547072254121304,0.141414135694504,0.43508705496788,0.356754004955292,0.291825026273727,0.319149881601334,0.413921594619751
